15
151	152	0	0	187	0	193	196	197	0	201	0	0	0	225
150	0	0	0	188	0	0	195	0	0	202	0	0	0	224
0	0	155	182	189	190	0	176	0	174	203	204	211	0	0
0	0	156	181	180	179	0	171	0	173	206	205	210	0	0
147	158	163	164	0	0	169	170	9	0	0	208	209	220	221
0	0	162	165	0	0	0	5	0	0	0	13	14	0	0
145	0	0	0	39	0	1	6	7	0	31	0	0	0	17
144	143	142	41	38	37	36	35	34	33	28	29	20	21	22
137	0	0	0	43	0	45	46	49	0	27	0	0	0	23
0	0	140	115	0	0	0	47	0	0	0	53	64	0	0
135	122	121	116	0	0	95	92	91	0	0	54	63	68	67
0	0	120	117	112	99	0	93	0	57	58	61	62	0	0
0	0	119	118	111	100	0	102	0	88	59	60	77	0	0
132	0	0	0	110	0	0	103	0	0	82	0	0	0	72
131	130	0	0	109	0	105	104	85	0	83	0	0	74	73
